Product, Customer Name, Rating, Heading, Comment 
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Flipkart Customer,5,Terrific,Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful product
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Anurag Lad,5,Perfect product!,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Athul Shabu,5,Must buy!,Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone.
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Flipkart Customer,5,Awesome,Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else.Excellent Picture quality.Just loved it.!!
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Ishu Kumar,5,Mind-blowing purchase,Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌..
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Vijaya Kurkute,5,Highly recommended,Thanx flipkart for value super sale for short time period of 1hour😁, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Suddha Ram boro,5,Awesome,Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Ayaz Ahmad,5,Brilliant,Almost 1month of purshase and i am loving it . Great for photography and videography and trust me the stability of video is awesome . High end performence in Gaming , the only problem is that it heats up a little while playing Bgmi but if u play in a AC room then there's no issue .The boxy look of iphone 12 is very good and it gives a premium feel while holding . worth buying . also if you are confused between iph 11 or iph12 then close your eyes and go for iphone 12 .
APPLE iPhone 12 (Blue, 64 GB),₹53,999,Indradav Sharma ,5,Must buy!,I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus . Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great
APPLE iPhone 12 (Blue, 64 GB),₹53,999,ANAND S,5,Highly recommended,My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍
APPLE iPhone 12 (Blue, 64 GB),₹53,999,ANAND S,No Rating,No Comment Heading,My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍
Product, Customer Name, Rating, Heading, Comment 
APPLE iPhone 12 (Black, 64 GB),₹53,999,Flipkart Customer,5,Terrific,Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful product
APPLE iPhone 12 (Black, 64 GB),₹53,999,Anurag Lad,5,Perfect product!,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️
APPLE iPhone 12 (Black, 64 GB),₹53,999,Athul Shabu,5,Must buy!,Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone.
APPLE iPhone 12 (Black, 64 GB),₹53,999,Flipkart Customer,5,Awesome,Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else.Excellent Picture quality.Just loved it.!!
APPLE iPhone 12 (Black, 64 GB),₹53,999,Ishu Kumar,5,Mind-blowing purchase,Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌..
APPLE iPhone 12 (Black, 64 GB),₹53,999,Vijaya Kurkute,5,Highly recommended,Thanx flipkart for value super sale for short time period of 1hour😁, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing
APPLE iPhone 12 (Black, 64 GB),₹53,999,Suddha Ram boro,5,Awesome,Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment
APPLE iPhone 12 (Black, 64 GB),₹53,999,Ayaz Ahmad,5,Brilliant,Almost 1month of purshase and i am loving it . Great for photography and videography and trust me the stability of video is awesome . High end performence in Gaming , the only problem is that it heats up a little while playing Bgmi but if u play in a AC room then there's no issue .The boxy look of iphone 12 is very good and it gives a premium feel while holding . worth buying . also if you are confused between iph 11 or iph12 then close your eyes and go for iphone 12 .
APPLE iPhone 12 (Black, 64 GB),₹53,999,Indradav Sharma ,5,Must buy!,I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus . Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great
APPLE iPhone 12 (Black, 64 GB),₹53,999,ANAND S,5,Highly recommended,My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍
APPLE iPhone 12 (Black, 64 GB),₹53,999,ANAND S,No Rating,No Comment Heading,My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍
Product, Customer Name, Rating, Heading, Comment 
APPLE iPhone 12 (White, 64 GB),₹53,999,Flipkart Customer,5,Terrific,Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful product
APPLE iPhone 12 (White, 64 GB),₹53,999,Anurag Lad,5,Perfect product!,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️
APPLE iPhone 12 (White, 64 GB),₹53,999,Athul Shabu,5,Must buy!,Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone.
APPLE iPhone 12 (White, 64 GB),₹53,999,Flipkart Customer,5,Awesome,Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else.Excellent Picture quality.Just loved it.!!
APPLE iPhone 12 (White, 64 GB),₹53,999,Ishu Kumar,5,Mind-blowing purchase,Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌..
APPLE iPhone 12 (White, 64 GB),₹53,999,Vijaya Kurkute,5,Highly recommended,Thanx flipkart for value super sale for short time period of 1hour😁, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing
APPLE iPhone 12 (White, 64 GB),₹53,999,Suddha Ram boro,5,Awesome,Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment
APPLE iPhone 12 (White, 64 GB),₹53,999,Ayaz Ahmad,5,Brilliant,Almost 1month of purshase and i am loving it . Great for photography and videography and trust me the stability of video is awesome . High end performence in Gaming , the only problem is that it heats up a little while playing Bgmi but if u play in a AC room then there's no issue .The boxy look of iphone 12 is very good and it gives a premium feel while holding . worth buying . also if you are confused between iph 11 or iph12 then close your eyes and go for iphone 12 .
APPLE iPhone 12 (White, 64 GB),₹53,999,Indradav Sharma ,5,Must buy!,I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus . Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great
APPLE iPhone 12 (White, 64 GB),₹53,999,ANAND S,5,Highly recommended,My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍
APPLE iPhone 12 (White, 64 GB),₹53,999,ANAND S,No Rating,No Comment Heading,My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍
Product, Customer Name, Rating, Heading, Comment 
APPLE iPhone 12 (Green, 64 GB),₹53,999,Flipkart Customer,5,Terrific,Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful product
APPLE iPhone 12 (Green, 64 GB),₹53,999,Anurag Lad,5,Perfect product!,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️
